district_code,state_name,district_name,population,male,female,literate,workers,households,households_with_internet,households_with_electric_lighting,urban_households,rural_households,households_with_computer,lpg_or_png_households
524,MAHARASHTRA,Latur,2454196,1273140,1181056,1650672,1046857,585632,6217,381722,157016,428616,29758,96018
525,MAHARASHTRA,Osmanabad,1657576,861535,796041,1137810,773916,444990,3209,240042,77832,367158,18183,49180
526,MAHARASHTRA,Solapur,4317756,2227852,2089904,2910676,1898395,1156231,15145,595560,376302,779929,59296,248255
527,MAHARASHTRA,Satara,3003741,1510842,1492899,2225694,1354947,975471,14093,562653,200949,774522,57423,271186
528,MAHARASHTRA,Ratnagiri,1615069,761121,853948,1199392,714076,639362,7752,367352,100824,538538,31062,100860
529,MAHARASHTRA,Sindhudurg,849651,417332,432319,666067,347178,340836,3517,194228,44989,295847,15721,42540
530,MAHARASHTRA,Kolhapur,3876001,1980658,1895343,2825845,1704054,1179314,22269,770005,382818,796496,71879,340318
531,MAHARASHTRA,Sangli,2822143,1435728,1386415,2049467,1215104,853673,13212,485126,226801,626872,49056,227034
532,ANDHRA PRADESH,Adilabad,2741239,1369597,1371642,1483347,1323667,817714,5512,566108,220248,597466,45202,194954
533,ANDHRA PRADESH,Nizamabad,2551335,1250641,1300694,1389810,1261076,720298,5261,545913,155133,565165,35036,186740
534,ANDHRA PRADESH,Karimnagar,3776269,1880800,1895469,2206829,1876768,1165280,8831,926768,288044,877236,46584,344667
535,ANDHRA PRADESH,Medak,3033288,1523030,1510258,1637137,1442203,789132,8635,604719,195479,593653,47170,163074
536,ANDHRA PRADESH,Hyderabad,3943323,2018575,1924748,2892155,1413297,1066289,149034,869721,1066289,0,274653,581509
537,ANDHRA PRADESH,Rangareddy,5296741,2701008,2595733,3538028,2196078,1561322,142879,1211352,1129224,432098,291745,773246
538,ANDHRA PRADESH,Mahbubnagar,4053028,2050386,2002642,1940646,2082501,1010015,6153,757821,161052,848963,60812,136843
539,ANDHRA PRADESH,Nalgonda,3488809,1759772,1729037,2001019,1741693,1030937,7715,789225,197433,833504,53777,228818
540,ANDHRA PRADESH,Warangal,3512576,1759281,1753295,2065023,1705655,1046987,12952,828077,288249,758738,59006,237349
541,ANDHRA PRADESH,Khammam,2797370,1390988,1406382,1630234,1410062,870625,8628,668519,201363,669262,42171,219710
542,ANDHRA PRADESH,Srikakulam,2703114,1341738,1361376,1495381,1290288,902436,3988,615432,149684,752752,32280,149554
543,ANDHRA PRADESH,Vizianagaram,2344474,1161477,1182997,1238388,1157962,749514,4453,527736,157056,592458,24128,140361
544,ANDHRA PRADESH,Visakhapatnam,4290589,2138910,2151679,2568249,1889879,1379340,45492,1010250,660493,718847,124729,495389
545,ANDHRA PRADESH,East Godavari,5154296,2569688,2584608,3288577,2093681,1605841,22411,1297273,406362,1199479,93784,479914
546,ANDHRA PRADESH,West Godavari,3936966,1964918,1972048,2652389,1773112,1255628,12050,1017568,248373,1007255,55613,435334
547,ANDHRA PRADESH,Krishna,4517398,2267375,2250023,3009718,2048880,1476334,30438,1163932,567042,909292,101450,632890
548,ANDHRA PRADESH,Guntur,4887813,2440521,2447292,2960441,2381624,1582990,19383,1186028,513113,1069877,80434,648568
549,ANDHRA PRADESH,Prakasam,3397448,1714764,1682684,1904435,1700567,1087575,6151,763746,214089,873486,43611,290947
550,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,2963557,1492974,1470583,1832189,1314561,953513,10201,696024,264376,689137,39583,233623
551,ANDHRA PRADESH,Y.S.R.,2882469,1451777,1430692,1716766,1320404,884093,6667,671764,293504,590589,39923,209532
552,ANDHRA PRADESH,Kurnool,4053463,2039227,2014236,2127161,2029425,1090835,10081,816721,306982,783853,56478,195001
553,ANDHRA PRADESH,Anantapur,4081148,2064495,2016653,2310960,2036166,1244428,8606,897970,341431,902997,48299,223016
554,ANDHRA PRADESH,Chittoor,4174064,2090204,2083860,2667878,1933357,1303870,13763,944555,395900,907970,67087,324406
555,KARNATAKA,Belgaum,4779661,2423063,2356598,3052032,2105668,1318975,17560,808827,356198,962777,73497,240742
556,KARNATAKA,Bagalkot,1889752,950111,939641,1113412,818081,490657,3745,301389,165858,324799,26297,49345
557,KARNATAKA,Bijapur,2177331,1111022,1066309,1248268,927722,527490,4987,326594,131041,396449,36571,58890
558,KARNATAKA,Bidar,1703300,870665,832635,1042673,702608,389403,3971,271439,102269,287134,36072,34924
559,KARNATAKA,Raichur,1928812,964511,964301,979769,903413,455848,5200,314547,125402,330446,33903,51443
560,KARNATAKA,Koppal,1389920,699926,689994,809085,654766,337649,2135,223166,64681,272968,15263,31673
561,KARNATAKA,Gadag,1064570,537147,527423,700177,495722,291972,3373,198064,111906,180066,15625,31959
562,KARNATAKA,Dharwad,1847023,937206,909817,1301664,784833,483104,15013,347962,283397,199707,49585,140584
563,KARNATAKA,Uttara Kannada,1437169,726256,710913,1081906,608526,474792,6129,290791,140511,334281,21501,88187
564,KARNATAKA,Haveri,1597668,819128,778540,1085443,730066,413564,2456,295937,98488,315076,17819,41517
565,KARNATAKA,Bellary,2452595,1236954,1215641,1421621,1116880,623480,9626,440374,251876,371604,40190,114040
566,KARNATAKA,Chitradurga,1659456,840843,818613,1087392,856587,447348,5711,307257,97644,349704,28897,60522
567,KARNATAKA,Davanagere,1945497,986400,959097,1308540,875207,530691,7320,372671,176011,354680,39416,100812
568,KARNATAKA,Shimoga,1752753,877415,875338,1263016,780598,554106,8791,363835,201662,352444,35207,128087
569,KARNATAKA,Udupi,1177361,562131,615230,926429,513241,385389,9070,224814,115572,269817,24817,83810
570,KARNATAKA,Chikmagalur,1137961,566622,571339,818345,565774,392426,4510,238505,80766,311660,18727,74534
571,KARNATAKA,Tumkur,2678980,1350594,1328386,1813391,1354646,890242,7971,562769,204799,685443,41751,116539
572,KARNATAKA,Bangalore,9621551,5022661,4598890,7512276,4246927,3267960,430880,2330631,2967384,300576,790103,1788912
573,KARNATAKA,Mandya,1805769,905085,900684,1149649,871408,562302,3367,391033,103435,458867,20265,80452
574,KARNATAKA,Hassan,1776421,883667,892754,1225256,903580,628981,4851,400702,132878,496103,23444,90599
575,KARNATAKA,Dakshina Kannada,2089649,1034714,1054935,1666323,997721,650292,23305,386300,317373,332919,55233,175270
576,KARNATAKA,Kodagu,554519,274608,279911,412877,278938,212974,3308,113931,31792,181182,10758,40958
577,KARNATAKA,Mysore,3001127,1511600,1489527,1962180,1314268,920982,28397,640868,380386,540596,80086,273706
578,KARNATAKA,Chamarajanagar,1020791,512231,508560,565279,481693,319880,1334,212156,57200,262680,11863,40944
579,KARNATAKA,Gulbarga,2566326,1301755,1264571,1427368,1087028,600007,9752,404767,199303,400704,52483,77334
580,KARNATAKA,Yadgir,1174271,590329,583942,510003,547696,262995,1410,156222,55208,207787,13216,18978
581,KARNATAKA,Kolar,1536401,776396,760005,1016219,717872,477609,5051,309494,151042,326567,27235,72407
582,KARNATAKA,Chikkaballapura,1255104,636437,618667,783222,639778,409702,2672,257243,94053,315649,17360,50936
583,KARNATAKA,Bangalore Rural,990923,509172,481751,688749,459891,326462,3729,214253,95410,231052,17066,77454
584,KARNATAKA,Ramanagara,1082636,548008,534628,674758,531459,351784,2844,238926,84834,266950,18003,46872
585,GOA,North Goa,818008,416677,401331,663060,327658,325089,23440,173951,209230,115859,56266,132612
586,GOA,South Goa,640537,322463,318074,502427,249590,251493,17624,138810,162873,88620,44299,102191
587,LAKSHADWEEP,Lakshadweep,64473,33123,31350,52553,18753,21242,327,10669,15953,5289,1501,1779
588,KERALA,Kasaragod,1307375,628613,678762,1037492,462998,417805,10378,237670,166164,251641,32484,74092
589,KERALA,Kannur,2523003,1181446,1341557,2138434,824116,872479,32653,511167,566191,306288,83940,115356
590,KERALA,Wayanad,817420,401684,415736,645585,340077,277988,4712,149864,11805,266183,15944,23028
591,KERALA,Kozhikode,3086293,1470942,1615351,2615443,948981,990336,36791,641660,666543,323793,107602,145558
592,KERALA,Malappuram,4112920,1960328,2152592,3311315,1062424,1157129,27909,730119,522586,634543,119918,139994
593,KERALA,Palakkad,2809934,1359478,1450456,2239492,1042340,894341,27162,587583,228442,665899,69440,178386
594,KERALA,Thrissur,3121200,1480763,1640437,2678548,1095727,1051867,56148,721625,715119,336748,132774,338350
595,KERALA,Ernakulam,3282388,1619557,1662831,2855676,1249343,1174691,88737,771287,804997,369694,184167,499291
596,KERALA,Idukki,1108974,552808,556166,923010,516363,412433,8250,244844,20823,391610,24863,54626
597,KERALA,Kottayam,1974551,968289,1006262,1749798,735735,678161,37849,464039,196194,481967,83999,187213
598,KERALA,Alappuzha,2127789,1013142,1114647,1852797,804471,723536,28842,507913,392117,331419,71593,274392
599,KERALA,Pathanamthitta,1197412,561716,635696,1062553,392794,472840,21015,302296,57848,414992,49466,128889
600,KERALA,Kollam,2635375,1246968,1388407,2240273,912025,925130,31542,630767,401415,523715,83133,263148
601,KERALA,Thiruvananthapuram,3301427,1581678,1719749,2785408,1231669,1169117,71621,783872,609824,559293,155321,343590
602,TAMIL NADU,Thiruvallur,3728104,1876062,1852042,2791721,1538054,1119433,75634,909400,732196,387237,174279,621907
603,TAMIL NADU,Chennai,4646732,2335844,2310888,3776276,1817297,1314125,217368,1096334,1314125,0,355838,910262
604,TAMIL NADU,Kancheepuram,3998252,2012958,1985294,3013382,1673814,1213504,100322,961161,774705,438799,200738,622095
605,TAMIL NADU,Vellore,3936331,1961688,1974643,2773928,1689330,1140300,20623,865913,486801,653499,69912,417535
606,TAMIL NADU,Tiruvannamalai,2464875,1235889,1228986,1626813,1238177,710163,6445,549077,147061,563102,27529,176242
607,TAMIL NADU,Viluppuram,3458873,1740819,1718054,2195776,1703249,967314,8472,748444,159272,808042,43311,228172
608,TAMIL NADU,Salem,3482056,1781571,1700485,2285562,1694160,1170352,20660,835377,597539,572813,63867,448968
609,TAMIL NADU,Namakkal,1726601,869280,857321,1176131,898245,627484,8960,441044,257127,370357,31581,265276
610,TAMIL NADU,Erode,2251744,1129868,1121876,1492662,1195773,843684,18604,595211,432398,411286,58861,371015
611,TAMIL NADU,The Nilgiris,735394,360143,375251,569647,349974,264105,4561,180261,151979,112126,17935,86277
612,TAMIL NADU,Dindigul,2159775,1080938,1078837,1481834,1105155,713542,9155,500057,269724,443818,38677,209640
613,TAMIL NADU,Karur,1064493,528184,536309,727044,543298,364661,4915,264949,152420,212241,17995,135831
614,TAMIL NADU,Tiruchirappalli,2722290,1352284,1370006,2038981,1213979,875727,30046,651621,423020,452707,79588,333478
615,TAMIL NADU,Perambalur,565223,282157,283066,375823,299726,188592,1507,135751,33179,155413,7745,49390
616,TAMIL NADU,Ariyalur,754894,374703,380191,480604,359851,254277,1749,177502,30322,223955,8371,39642
617,TAMIL NADU,Cuddalore,2605914,1311697,1294217,1815281,1169880,758209,15396,598412,260780,497429,50938,244610
618,TAMIL NADU,Nagapattinam,1616450,798127,818323,1213008,671994,517740,5585,381940,118724,399016,19692,143846
619,TAMIL NADU,Thiruvarur,1264277,626693,637584,946471,540168,408179,4416,303114,86848,321331,15535,109580
620,TAMIL NADU,Thanjavur,2405890,1182416,1223474,1790998,974079,753372,13495,555582,274302,479070,42912,223044
621,TAMIL NADU,Pudukkottai,1618345,803188,815157,1110545,761693,503941,4494,354493,104229,399712,18272,82967
622,TAMIL NADU,Sivaganga,1339101,668672,670429,959744,620171,452417,5773,314270,143193,309224,24456,113822
623,TAMIL NADU,Madurai,3038252,1526475,1511777,2273430,1354632,1010441,34097,754141,592723,417718,95311,391821
624,TAMIL NADU,Theni,1245899,625683,620216,870080,591642,410623,4667,312310,221295,189328,18830,147529
625,TAMIL NADU,Virudhunagar,1942288,967709,974579,1398788,950158,734724,10219,505950,370942,363782,37357,235005
626,TAMIL NADU,Ramanathapuram,1353445,682658,670787,978946,602977,417239,5172,291400,126761,290478,22379,100484
627,TAMIL NADU,Thoothukkudi,1750176,865021,885155,1349697,748095,636739,11455,437916,300661,336078,35791,200616
628,TAMIL NADU,Tirunelveli,3077233,1520912,1556321,2273457,1436454,1064667,19070,779130,516705,547962,63590,361760
629,TAMIL NADU,Kanniyakumari,1870374,926345,944029,1548738,679620,598041,15673,465692,493788,104253,52943,199188
630,TAMIL NADU,Dharmapuri,1506843,774303,732540,917709,751170,487926,3651,337972,91107,396819,18927,104785
631,TAMIL NADU,Krishnagiri,1879809,960232,919577,1187958,877779,580540,9619,409237,142552,437988,38239,151246
632,TAMIL NADU,Coimbatore,3458045,1729297,1728748,2635907,1567950,1169752,63273,896325,884957,284795,149920,675153
633,TAMIL NADU,Tiruppur,2479052,1246159,1232893,1760566,1266137,894908,17181,655073,538022,356886,55311,463530
634,PONDICHERRY,Yanam,55626,27301,28325,39274,16760,15519,207,12859,15519,0,597,10399
635,PONDICHERRY,PONDICHERRY,950289,468258,482031,726649,348105,291037,15437,226316,203741,87296,34007,170120
636,PONDICHERRY,Mahe,41816,19143,22673,36470,11802,12110,574,7150,12110,0,1484,3632
637,PONDICHERRY,Karaikal,200222,97809,102413,154916,68301,69333,1868,47880,33715,35618,4870,28366
638,ANDAMAN AND NICOBAR ISLANDS,Nicobars,36842,20727,16115,25332,17125,15958,57,9301,0,15958,230,3644
639,ANDAMAN AND NICOBAR ISLANDS,North  AND Middle Andaman,105597,54861,50736,78683,38579,40185,388,18641,1094,39091,1193,5897
640,ANDAMAN AND NICOBAR ISLANDS,South Andaman,238142,127283,110859,190266,96831,85532,2789,52479,50631,34901,6771,31998
