district_code,state_name,district_name,population,male,female,literate,workers,households,households_with_internet,households_with_electric_lighting,urban_households,rural_households,households_with_computer,lpg_or_png_households
350,JHARKHAND,Deoghar,1492073,775022,717051,793538,551467,321710,1944,130193,64337,257373,13550,26760
351,JHARKHAND,Godda,1313551,677927,635624,604519,552191,292030,874,43230,15576,276454,11925,7421
352,JHARKHAND,Sahibganj,1150567,589391,561176,483263,490202,260993,591,34879,37543,223450,9563,11545
353,JHARKHAND,Pakur,900422,452661,447761,352881,404584,217175,328,31414,16587,200588,4535,5316
354,JHARKHAND,Dhanbad,2684487,1405956,1278531,1722204,844504,664219,11568,427173,405455,258764,46646,83995
355,JHARKHAND,Bokaro,2062330,1072807,989523,1273520,685368,508764,9754,274726,258452,250312,37997,67157
356,JHARKHAND,Lohardaga,461790,232629,229161,259707,221332,111484,351,28769,14725,96759,2954,8016
357,JHARKHAND,Purbi Singhbhum,2293919,1176902,1117017,1507699,837167,604663,22042,382507,342126,262537,63985,159644
358,JHARKHAND,Palamu,1939869,1006302,933567,1024563,713175,407904,2155,68238,52375,355529,19981,17270
359,JHARKHAND,Latehar,726978,369666,357312,350682,313379,160514,340,38194,14137,146377,6240,2177
360,JHARKHAND,Hazaribagh,1734495,890881,843614,1013249,654636,381748,3532,176888,68765,312983,18181,23057
361,JHARKHAND,Ramgarh,949443,494230,455213,596497,312125,252625,2876,149265,118558,134067,12021,24095
362,JHARKHAND,Dumka,1321442,668514,652928,672409,624779,326978,1193,62110,23281,303697,10396,11836
363,JHARKHAND,Jamtara,791042,404830,386212,426312,326631,185668,808,49419,20113,165555,4959,5564
364,JHARKHAND,Ranchi,2914253,1494937,1419316,1911433,1142867,730982,22538,350908,310242,420740,76565,164237
365,JHARKHAND,Khunti,531885,266335,265550,284575,259984,135719,417,29157,12474,123245,4747,3779
366,JHARKHAND,Gumla,1025213,514390,510823,559720,487508,233074,831,31687,16445,216629,7807,9108
367,JHARKHAND,Simdega,599578,300309,299269,343483,288645,155283,423,16865,11114,144169,4649,3472
368,JHARKHAND,Pashchimi Singhbhum,1502338,749385,752953,727561,694863,400324,1959,121955,63396,336928,12472,19441
369,JHARKHAND,Saraikela-Kharsawan,1065056,544411,520645,612993,430051,285687,2606,138131,68439,217248,12081,26118
370,ORISSA,Bargarh,1481255,749161,732094,983783,762092,458961,2401,166909,47395,411566,12343,16880
371,ORISSA,Jharsuguda,579505,296690,282815,405879,247707,177186,2498,81433,73962,103224,7555,18950
372,ORISSA,Sambalpur,1041099,526877,514222,703691,505840,315495,5231,126498,94798,220697,14521,33612
373,ORISSA,Debagarh,312520,158230,154290,197819,165435,98758,825,22453,7350,91408,3247,2236
374,ORISSA,Sundargarh,2093437,1061147,1032290,1342322,873227,618062,12787,223537,230151,387911,35024,77581
375,ORISSA,Kendujhar,1801733,906487,895246,1052518,766514,574298,2622,121830,83664,490634,13167,30240
376,ORISSA,Mayurbhanj,2519738,1256213,1263525,1369397,1223534,753589,2950,140189,64479,689110,17999,29031
377,ORISSA,Baleshwar,2320529,1185787,1134742,1621232,932707,683594,7370,296834,82440,601154,28289,36478
378,ORISSA,Bhadrak,1506337,760260,746077,1094140,468599,428106,2637,164636,54244,373862,15609,15864
379,ORISSA,Kendrapara,1440361,717814,722547,1089265,466890,438243,1628,173107,23494,414749,11836,15879
380,ORISSA,Jagatsinghapur,1136971,577865,559106,889027,403649,352732,3199,139646,43047,309685,13312,20225
381,ORISSA,Cuttack,2624470,1352760,1271710,2011469,936365,790297,15046,349587,210768,579529,40589,103177
382,ORISSA,Jajapur,1827192,926034,901158,1290455,552234,541139,3831,192249,45528,495611,17922,25969
383,ORISSA,Dhenkanal,1192811,612593,580218,829910,435533,352369,1810,117172,36979,315390,10600,19846
384,ORISSA,Anugul,1273821,655718,618103,869456,526520,414587,5564,131916,74177,340410,15658,27099
385,ORISSA,Nayagarh,962789,502636,460153,688362,343633,288334,1163,124984,26688,261646,8278,11159
386,ORISSA,Khordha,2251673,1167137,1084536,1749936,792193,688729,35701,349860,356895,331834,75588,160277
387,ORISSA,Puri,1698730,865380,833350,1291939,621676,474224,3416,201605,72210,402014,16006,33331
388,ORISSA,Ganjam,3529031,1779218,1749813,2210050,1501772,1015394,9049,405298,219918,795476,41059,120191
389,ORISSA,Gajapati,577817,282882,294935,262537,293933,175145,635,63112,23050,152095,5523,12035
390,ORISSA,Kandhamal,733110,359945,373165,399786,355349,242935,768,28736,24489,218446,6609,6938
391,ORISSA,Baudh,441162,221625,219537,271612,219457,137954,245,19191,6577,131377,3430,3105
392,ORISSA,Subarnapur,610183,311312,298871,398421,286661,193502,708,50028,16575,176927,4289,5168
393,ORISSA,Balangir,1648997,830097,818900,927260,720601,538962,3286,123446,62192,476770,17274,21268
394,ORISSA,Nuapada,610382,301962,308420,299383,305438,209127,757,43976,11869,197258,4221,6414
395,ORISSA,Kalahandi,1576869,787101,789768,802036,751930,494748,1953,91171,38412,456336,12622,17610
396,ORISSA,Rayagada,967911,471960,495951,407735,467122,286548,1553,61543,49205,237343,9166,24924
397,ORISSA,Nabarangapur,1220946,604812,616134,470379,610906,372264,1324,34570,29424,342840,8128,9347
398,ORISSA,Koraput,1379647,678809,700838,568090,693406,460128,3988,85766,78339,381789,17294,39631
399,ORISSA,Malkangiri,613192,303624,309568,244706,310666,183723,448,24604,15839,167884,3908,4738
400,CHHATTISGARH,Koriya,658917,334737,324180,397823,307071,181615,1667,80023,59763,121852,7609,25605
401,CHHATTISGARH,Surguja,2359886,1193129,1166757,1187941,1155807,590763,2737,253131,65167,525596,18983,29433
402,CHHATTISGARH,Jashpur,851669,424747,426922,495415,487360,226392,567,76783,20722,205670,5755,6628
403,CHHATTISGARH,Raigarh,1493984,750278,743706,951639,690167,420916,3342,297308,66638,354278,13857,27771
